destination_id,city,country,continent,avg_temperature,budget_per_day_usd,beach,mountain,culture,adventure,nightlife,shopping,nature,historical,family_friendly,romantic,safety_score,english_spoken,visa_required,climate_type,best_season_start,best_season_end,popularity_score,average_rating,number_of_reviews,cost_level,tourist_density,created_at,cluster
1,Paris,France,Europe,17.0,870.78,0.12,0.14,0.55,0.74,0.55,0.71,0.03,0.55,0.54,0.66,8.2,0.8,1,Tempéré,8,1,9.0,3.5,1357,Low,Very High,2026-01-27 15:06:47,1
2,Londres,Royaume-Uni,Europe,12.8,1215.31,0.38,0.1,0.69,0.36,0.34,0.49,0.04,0.73,0.47,0.85,6.3,0.51,1,Désertique,4,7,5.2,3.8,2420,Medium,Low,2026-01-27 15:06:47,3
3,New York,États-Unis,Amérique du Nord,25.4,690.06,0.23,0.33,0.38,0.36,0.67,0.79,0.68,0.24,0.78,0.62,7.0,0.62,1,Océanique,12,4,8.4,4.8,508,Low,Medium,2026-01-27 15:06:47,0
4,Tokyo,Japon,Asie,29.5,2802.33,0.07,0.91,0.58,0.72,0.21,0.65,0.88,0.82,0.49,0.38,9.0,0.68,1,Désertique,7,12,6.1,5.0,4224,High,Very High,2026-01-27 15:06:47,0
5,Barcelone,Espagne,Europe,9.3,930.55,0.08,0.16,0.84,0.6,0.38,0.72,0.47,0.63,0.73,0.87,8.7,0.38,1,Subtropical,11,4,5.6,4.2,3766,Low,Low,2026-01-27 15:06:47,3
6,Rome,Italie,Europe,21.4,3943.78,0.38,0.51,0.55,0.63,0.84,0.66,0.2,0.69,0.5,0.87,9.7,0.94,1,Méditerranéen,1,4,9.6,4.8,2569,High,Medium,2026-01-27 15:06:47,2
7,Amsterdam,Pays-Bas,Europe,8.8,542.83,0.24,0.07,0.88,0.77,0.13,0.63,0.55,0.63,0.92,0.55,6.8,0.68,0,Océanique,5,11,10.0,4.5,3638,Low,Very High,2026-01-27 15:06:47,3
8,Bangkok,Thaïlande,Asie,19.7,1064.03,0.02,0.55,0.59,0.01,0.71,0.34,0.07,0.52,0.6,0.61,7.1,0.64,0,Océanique,10,4,6.2,4.2,3384,Medium,Medium,2026-01-27 15:06:47,0
9,Dubaï,Émirats Arabes Unis,Asie,19.3,5417.19,0.41,0.86,0.33,0.65,0.65,0.34,0.73,0.9,0.47,0.41,8.1,0.4,0,Continental,8,12,9.4,3.6,4558,Luxury,Low,2026-01-27 15:06:47,0
10,Sydney,Australie,Océanie,18.4,984.5,0.93,0.34,0.38,0.49,0.21,0.58,0.06,0.39,0.99,0.46,9.1,0.62,1,Océanique,12,6,5.8,3.9,529,Low,Low,2026-01-27 15:06:47,4
11,Bali,Indonésie,Asie,28.5,525.07,0.48,0.92,0.57,0.06,0.51,0.9,0.07,0.53,0.92,0.54,9.8,0.7,0,Désertique,2,8,8.3,4.3,2641,Low,High,2026-01-27 15:06:47,4
12,Singapour,Singapour,Asie,20.9,2477.37,0.4,0.67,0.45,0.32,0.75,0.35,0.46,1.0,1.0,0.34,6.9,0.49,1,Tropical,4,9,6.4,4.2,4500,Medium,High,2026-01-27 15:06:47,0
13,Istanbul,Turquie,Asie,26.6,833.93,0.55,0.93,0.35,0.88,0.26,0.92,0.74,0.58,0.57,0.43,7.4,0.78,1,Désertique,8,1,9.5,4.8,806,Low,Very High,2026-01-27 15:06:47,4
14,Berlin,Allemagne,Europe,19.6,501.77,0.39,0.64,0.63,0.74,0.55,0.6,0.01,0.54,0.93,0.84,8.2,0.88,0,Méditerranéen,3,6,6.5,4.8,376,Low,High,2026-01-27 15:06:47,3
15,Prague,République Tchèque,Europe,10.9,1666.93,0.18,0.56,0.94,0.97,0.75,0.95,0.24,0.58,0.88,0.41,7.6,0.43,1,Subtropical,7,11,6.3,4.7,935,Medium,Very High,2026-01-27 15:06:47,3
16,Vienne,Autriche,Europe,20.2,4889.73,0.41,0.46,0.65,0.8,0.23,0.32,0.19,0.66,0.92,0.88,7.1,0.75,1,Océanique,9,2,9.7,3.7,2189,High,Medium,2026-01-27 15:06:47,3
17,Budapest,Hongrie,Europe,16.1,2076.51,0.3,0.35,0.89,0.44,0.98,0.38,0.9,0.6,0.43,0.56,8.1,0.86,0,Continental,7,10,9.7,4.9,2621,Medium,Low,2026-01-27 15:06:47,2
18,Lisbonne,Portugal,Europe,18.1,3014.25,0.33,0.33,0.85,0.55,0.19,0.77,0.38,0.87,0.5,0.64,7.6,0.88,1,Continental,4,10,8.9,4.4,2689,High,Very High,2026-01-27 15:06:47,3
19,Athènes,Grèce,Europe,14.2,1511.17,0.4,0.96,0.87,0.66,0.28,0.76,0.62,0.55,0.97,0.44,7.2,0.86,0,Tropical,1,5,9.9,4.4,646,Medium,Very High,2026-01-27 15:06:47,3
20,Dublin,Irlande,Europe,13.8,1718.35,0.19,0.4,0.57,0.69,0.89,0.9,0.89,0.89,0.53,0.78,8.8,0.63,0,Subtropical,2,8,5.7,4.2,4401,Medium,High,2026-01-27 15:06:47,2
